Facility Name,CMS Certification Number,Alternate CCN 1,Alternate CCN 2,Alternate CCN 3,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Hemoglobin Eligible Patients Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Hemoglobin Eligible Patients Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,URR Measure Score,URR Performance Period Rate,Number of URR Eligible Patients Performance Period,URR Baseline Period Rate,Number of URR Eligible Patients Baseline Period,URR Performance Score Applied,Fistula Measure Score,Fistula Performance Period Rate,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,ICH CAHPS Admin Score,NHSN Event Reporting Score,Mineral Metabolism Reporting Score,Total Performance Score,PY2014 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2012",Date of ownership record update
DAVITA SOUTHERN CRESCENT DIALYSIS CENTER,112771,,,,275 UPPER RIVERDALE ROAD SOUTHWEST SUITE B,,RIVERDALE,GA,30274,6,10,0%,60,2%,55,Achievement,10,100%,60,94%,54,Achievement,5,59%,666,55%,591,Achievement,9,7%,598,3%,409,Achievement,7%,10,10,10,91%,No reduction,08/02/2006,DAVITA,04/01/2007
FMCNA VILLA RICA,112772,,,,130 PROSPECTOR DRIVE,,VILLA RICA,GA,30180,6,10,0%,41,0%,35,Achievement,10,100%,42,100%,36,Achievement,8,68%,515,55%,390,Achievement,9,7%,475,8%,277,Achievement,9%,10,10,10,97%,No reduction,08/09/2006,FRESENIUS MEDICAL CARE,08/31/2007
RAI CARE CENTER PATTERSON,112773,,,,1115 SOUTH PATTERSON STREET,,VALDOSTA,GA,31601,6,10,0%,35,0%,40,Achievement,10,100%,32,100%,39,Achievement,5,61%,385,63%,457,Achievement,8,8%,359,12%,328,Achievement,7%,10,10,10,91%,No reduction,09/21/2006,RENAL ADVANTAGE,05/05/2010
SPIVEY PERITONEAL AND HOME DIALYSIS CENTER,112774,,,,1423 STOCKBRIDGE ROAD SUITE B,,JONESBORO,GA,30236,6,10,0%,18,0%,16,Achievement,N/A,,0,,0,N/A,N/A,Insufficient data,42,Insufficient data,61,N/A,N/A,Insufficient data,31,Insufficient data,41,N/A,N/A,N/A,N/A,10,100%,No reduction,10/19/2006,DAVITA,09/22/2010
DCI BOXWOOD PLACE,112775,,,,1711 BOXWOOD PLACE,,COLUMBUS,GA,31906,6,10,0%,88,0%,93,Achievement,2,95%,91,94%,95,Achievement,0,40%,1055,38%,1101,Achievement,7,11%,1016,21%,794,Achievement,4%,10,10,10,58%,No reduction,10/18/2006,"DIALYSIS CLINIC, INC.",05/11/2011
GRAY DIALYSIS CENTER,112776,,,,1002 BOULDER DRIVE,,GRAY,GA,31032,6,10,0%,16,0%,19,Achievement,1,94%,18,100%,18,Achievement,2,50%,183,43%,223,Achievement,4,17%,157,25%,151,Achievement,3%,10,10,10,52%,0.5%,12/20/2006,RENAL ADVANTAGE,12/29/2006
MOUNTAIN PARK DIALYSIS,112777,,,,5235 MEMORIAL DRIVE,,STONE MOUNTAIN,GA,30083,6,10,0%,37,13%,32,Achievement,10,100%,39,97%,37,Achievement,6,62%,455,49%,350,Achievement,10,4%,423,14%,230,Achievement,8%,10,10,10,94%,No reduction,12/21/2006,DAVITA,05/13/2009
MEDLOCK BRIDGE DIALYSIS,112778,,,,10680 MEDLOCK BRIDGE ROAD SUITE 103,,DULUTH,GA,30097,6,10,0%,31,2%,44,Achievement,10,100%,38,98%,43,Achievement,7,66%,420,61%,461,Achievement,9,6%,373,12%,308,Achievement,8%,10,10,10,94%,No reduction,12/28/2006,DAVITA,01/04/2007
NORTH GWINNETT DIALYSIS,112779,,,,185 OLD PEACHTREE ROAD NORTHWEST,,SUWANEE,GA,30024,6,10,0%,34,12%,43,Achievement,10,100%,28,93%,28,Achievement,0,38%,359,36%,270,Achievement,4,17%,330,11%,181,Achievement,2%,10,10,10,76%,No reduction,02/14/2007,RENAL CARE GROUP INC.,05/28/2009
FMCNA DIALYSIS SERVICES OF DECATUR,112781,,,,2721 IRWIN WAY,,DECATUR,GA,30030,6,10,0%,49,3%,39,Achievement,10,100%,41,97%,33,Achievement,9,71%,426,63%,343,Achievement,4,16%,384,15%,242,Achievement,7%,10,10,10,91%,No reduction,11/01/2006,FRESENIUS MEDICAL CARE,01/20/2007
FMCNA SANDY SPRINGS,112782,,,,7840 ROSWELL ROAD BUILDING 200 SUITE 210,,ATLANTA,GA,30350,6,6,4%,26,0%,26,Achievement,10,100%,31,97%,30,Achievement,7,67%,350,71%,280,Achievement,10,3%,317,5%,184,Achievement,9%,10,10,10,85%,No reduction,12/12/2006,FRESENIUS MEDICAL CARE,04/29/2007
NRA PALMETTO,112783,,,,500 WALNUT WAY,,PALMETTO,GA,30268,6,10,0%,17,5%,21,Achievement,10,100%,21,100%,22,Achievement,10,80%,233,83%,223,Achievement,10,3%,212,5%,154,Achievement,10%,10,10,10,100%,No reduction,09/21/2007,RENAL ADVANTAGE,09/22/2007
NORTH HENRY DIALYSIS,112784,,,,5627 NORTH HENRY BOULEVARD SUITE I-1,,STOCKBRIDGE,GA,30281,6,10,0%,48,11%,44,Achievement,10,100%,58,94%,48,Achievement,8,69%,549,62%,527,Achievement,10,4%,493,4%,364,Achievement,9%,10,10,10,97%,No reduction,09/18/2007,DAVITA,05/06/2009
FRESENIUS MEDICAL CARE SOUTH DEKALB/ROCKDALE,112785,,,,6085 HILLANDALE DRIVE,,LITHONIA,GA,30058,6,10,0%,43,0%,37,Achievement,10,100%,46,100%,40,Achievement,7,67%,500,63%,383,Achievement,7,11%,478,23%,250,Achievement,7%,10,10,10,91%,No reduction,07/26/2007,FRESENIUS MEDICAL CARE,10/17/2009
FRESENIUS MEDICAL CARE RIVER CITY,112786,,,,2443 BROOKSTONE CENTER PARKWAY,SUITE B,COLUMBUS,GA,31904,6,10,0%,17,15%,20,Achievement,10,100%,18,100%,23,Achievement,2,51%,206,48%,226,Achievement,8,8%,200,16%,161,Achievement,5%,10,10,10,85%,No reduction,11/07/2007,FRESENIUS MEDICAL CARE,11/08/2007
UNION CITY DIALYSIS,112788,,,,6851 SHANNON PARKWAY SUITE 200,,UNION CITY,GA,30291,6,10,0%,68,0%,49,Achievement,10,100%,61,96%,45,Achievement,4,58%,743,53%,516,Achievement,8,8%,680,10%,346,Achievement,6%,10,10,10,88%,No reduction,12/13/2007,DAVITA,05/25/2009
ATHENS EAST DIALYSIS,112789,,,,"2026 SOUTH MILLEDGE AVENUE, STREET A2",,ATHENS,GA,30605,6,10,0%,32,9%,34,Achievement,5,97%,30,97%,31,Achievement,4,58%,330,52%,363,Achievement,7,10%,305,15%,240,Achievement,6%,10,10,10,73%,No reduction,12/20/2007,DAVITA,09/01/2009
SOUTHSTAR ADAMSVILLE DIALYSIS,112790,,,,3651 BAKERS FERRY ROAD SOUTHWEST,,ATLANTA,GA,30331,6,10,0%,35,2%,43,Achievement,5,97%,36,100%,39,Achievement,3,50%,405,36%,461,Improvement,10,0%,374,6%,322,Achievement,7%,10,10,10,76%,No reduction,12/12/2007,DAVITA,12/13/2007
NRA - VALDOSTA (NORTH) GEORGIA,112791,,,,4358 KINGS WAY,,VALDOSTA,GA,31602,6,10,0%,21,0%,23,Achievement,10,100%,21,100%,24,Achievement,10,78%,250,66%,249,Achievement,8,9%,242,8%,168,Achievement,9%,10,10,10,97%,No reduction,01/23/2008,RENAL ADVANTAGE,07/16/2009
HARBIN CLINIC CEDARTOWN DIALYSIS,112792,,,,14 CHEROKEE ROAD,,CEDARTOWN,GA,30125,6,10,0%,32,0%,33,Achievement,0,92%,36,94%,34,Achievement,4,56%,484,47%,434,Achievement,10,0%,457,3%,295,Achievement,7%,10,10,0,58%,No reduction,02/05/2008,INDEPENDENT,02/06/2008
FRESENIUS MEDICAL CARE EVANS,112793,,,,696 INDUSTRIAL PARK DRIVE,,EVANS,GA,30809,6,8,6%,32,30%,23,Improvement,10,100%,33,95%,21,Achievement,7,66%,369,59%,236,Achievement,5,15%,343,17%,164,Achievement,6%,10,10,10,82%,No reduction,02/13/2008,FRESENIUS MEDICAL CARE,02/14/2008
TIFTON DIALYSIS,112794,,,,624 LOVE AVENUE,,TIFTON,GA,31794,6,10,0%,15,,8,Achievement,1,94%,18,,6,Achievement,4,58%,201,Insufficient data,81,Achievement,5,14%,173,Insufficient data,54,Achievement,5%,10,10,0,55%,No reduction,02/27/2008,DAVITA,02/28/2008
HARBIN CLINIC SUMMERVILLE DIALYSIS CENTER,112795,,,,12541 HIGHWAY 27,,SUMMERVILLE,GA,30747,6,10,0%,39,0%,32,Achievement,7,98%,41,100%,28,Achievement,4,58%,453,54%,343,Achievement,10,1%,418,3%,233,Achievement,7%,10,10,10,82%,No reduction,01/29/2008,INDEPENDENT,01/30/2008
CORDELE DIALYSIS,112796,,,,1013 EAST 16TH AVENUE,,CORDELE,GA,31015,6,10,0%,38,10%,41,Achievement,7,98%,43,98%,43,Achievement,7,65%,483,58%,467,Achievement,10,3%,460,5%,328,Achievement,9%,10,10,10,88%,No reduction,03/26/2008,DAVITA,03/27/2008
FRESENIUS MEDICAL CARE DIALYSIS OF GOLDEN ISLES,112797,,,,475 GATEWAY CENTER BOULEVARD,,BRUNSWICK,GA,31525,6,9,1%,91,2%,98,Achievement,7,98%,82,91%,85,Achievement,2,52%,948,60%,923,Achievement,8,8%,901,6%,652,Achievement,5%,10,10,10,73%,No reduction,05/09/2008,FRESENIUS MEDICAL CARE,08/02/2009
LAGRANGE DIALYSIS CLINIC,112798,,,,140 OLD MILL ROAD,,LAGRANGE,GA,30241,6,10,0%,43,0%,34,Achievement,4,95%,42,91%,35,Improvement,10,76%,503,72%,447,Achievement,9,7%,464,10%,318,Achievement,10%,0,10,0,75%,No reduction,06/11/2008,RENAL ADVANTAGE,06/12/2008
SOUTH HENRY DIALYSIS CENTER,112799,,,,1095 HENRY PARKWAY CONNECTOR,,MCDONOUGH,GA,30252,6,10,0%,15,7%,14,Achievement,10,100%,15,100%,13,Achievement,3,55%,165,52%,151,Achievement,7,11%,140,6%,106,Achievement,5%,0,10,10,82%,No reduction,07/02/2008,INDEPENDENT,07/03/2008
FRESENIUS MEDICAL CARE HABERSHAM,112800,,,,735 NORTH HISTORIC HIGHWAY 441,,DEMOREST,GA,30535,6,10,0%,36,3%,40,Achievement,10,100%,36,95%,40,Achievement,5,60%,448,53%,427,Achievement,4,16%,432,12%,305,Achievement,5%,10,10,10,85%,No reduction,07/15/2008,FRESENIUS MEDICAL CARE,07/16/2008
DIALYSIS CLINIC INC CLARK HOME TRAINING CENTER,112801,,,,1210 NORTH JEFFERSON STREET,,ALBANY,GA,31701,6,8,2%,58,3%,29,Achievement,N/A,,0,,0,N/A,8,68%,152,59%,109,Achievement,10,0%,142,0%,75,Achievement,9%,N/A,N/A,10,87%,No reduction,10/01/2008,"DIALYSIS CLINIC, INC.",10/02/2008
RINCON DIALYSIS,112802,,,,604 TOWNE PARK WEST,,RINCON,GA,31326,6,10,0%,15,0%,12,Achievement,10,100%,16,100%,12,Achievement,8,70%,159,39%,139,Achievement,8,9%,147,24%,97,Achievement,8%,10,10,10,94%,No reduction,10/29/2008,FRESENIUS MEDICAL CARE,10/30/2008
KIDNEY DIALYSIS CENTER LLC,112803,,,,640 MARTIN LUTHER KING JR BOULEVARD,,MACON,GA,31201,6,10,0%,97,6%,100,Achievement,10,100%,81,95%,80,Achievement,3,53%,942,48%,933,Achievement,9,6%,911,12%,660,Achievement,6%,10,10,10,88%,No reduction,10/21/2008,DAVITA,10/22/2008
WALTON DIALYSIS CENTER,112804,,,,710 BREEDLOVE DRIVE,,MONROE,GA,30655,6,N/A,,9,0%,19,N/A,N/A,,9,100%,20,N/A,N/A,Insufficient data,94,63%,225,N/A,7,11%,90,12%,156,Achievement,7%,0,10,10,70%,No reduction,12/15/2008,INDEPENDENT,11/02/2008
RENAL CARE PARTNERS OF DAHLONEGA,112805,,,,73 MAXWELL LANE,SUITE 3,DAHLONEGA,GA,30533,6,10,0%,25,0%,27,Achievement,0,88%,16,94%,17,Achievement,10,83%,252,65%,263,Achievement,9,6%,223,8%,176,Achievement,10%,10,10,10,70%,No reduction,11/06/2008,OTHER CHAIN(number of facilities <20 ),11/07/2008
DAVITA SNELLVILLE DIALYSIS,112806,,,,2135 MAIN STREET EAST,SUITE 130,SNELLVILLE,GA,30078,6,10,0%,44,0%,23,Achievement,10,100%,40,96%,23,Achievement,6,62%,437,56%,238,Achievement,6,12%,386,12%,163,Achievement,6%,10,10,10,88%,No reduction,11/14/2008,DAVITA,11/15/2008
ARBOR PLACE DIALYSIS,112807,,,,9559 HIGHWAY 5 SUITE #1,,DOUGLASVILLE,GA,30135,6,10,0%,25,5%,21,Achievement,10,100%,26,100%,22,Achievement,4,57%,296,55%,237,Achievement,6,13%,256,11%,168,Achievement,5%,10,10,10,85%,No reduction,02/05/2009,DAVITA,02/06/2009
DULUTH DIALYSIS CENTER,112809,,,,3770 HOWELL FERRY ROAD,,DULUTH,GA,30096,6,10,0%,13,,9,Achievement,10,100%,15,,8,Achievement,0,40%,167,Insufficient data,81,Achievement,0,34%,148,Insufficient data,54,Achievement,0%,0,10,10,67%,No reduction,04/03/2009,INDEPENDENT,04/04/2009
KENNESTONE DIALYSIS,112810,,,,200 COBB PARKWAY NORTH,Building 300 Ste 318,MARIETTA,GA,30062,6,7,3%,38,0%,25,Achievement,4,96%,26,100%,13,Achievement,3,54%,329,45%,204,Achievement,7,10%,275,10%,127,Achievement,5%,10,10,10,58%,No reduction,12/18/2008,DAVITA,12/19/2008
POOLER DIALYSIS,112811,,,,54 TRADERS WAY,,POOLER,GA,31322,6,10,0%,32,0%,20,Achievement,10,100%,28,95%,19,Achievement,7,66%,318,58%,191,Achievement,8,8%,297,4%,125,Achievement,8%,10,10,10,94%,No reduction,04/08/2009,DAVITA,04/09/2009
FMC CLAYTON DIALYSIS,112812,,,,108 PLAZA WAY,,CLAYTON,GA,30525,6,10,0%,14,6%,18,Achievement,10,100%,16,100%,18,Achievement,4,57%,167,59%,194,Achievement,0,33%,158,27%,128,Achievement,2%,10,10,10,76%,No reduction,03/17/2009,FRESENIUS MEDICAL CARE,04/03/2011
SHAMROCK DIALYSIS,112813,,,,1016 CLAXTON DAIRY ROAD SUITE 1A,,DUBLIN,GA,31021,6,10,0%,39,8%,39,Achievement,10,100%,29,96%,24,Achievement,5,60%,329,40%,255,Achievement,10,2%,283,12%,179,Achievement,8%,10,10,0,91%,No reduction,12/23/2008,DAVITA,12/24/2008
MADISON KIDNEY CENTER,112814,,,,1311 ATLANTA HIGHWAY SUITE A,,MADISON,GA,30650,6,10,0%,23,0%,23,Achievement,10,100%,23,95%,22,Achievement,0,30%,279,44%,267,Achievement,5,14%,271,19%,176,Achievement,3%,0,10,0,72%,No reduction,05/14/2009,INDEPENDENT,05/15/2009
PEACHTREE CITY DIALYSIS,112815,,,,2830 WEST HIGHWAY 54,2830 W HWY 54,PEACHTREE CITY,GA,30269,6,10,0%,24,0%,19,Achievement,10,100%,22,100%,16,Achievement,0,34%,240,38%,213,Achievement,7,10%,230,6%,150,Achievement,4%,10,10,10,82%,No reduction,08/27/2009,DAVITA,08/28/2009
TUCKER DIALYSIS,112816,,,,4434 HUGH HOWELL ROAD,,TUCKER,GA,30084,6,10,0%,13,,9,Achievement,10,100%,13,100%,11,Achievement,5,60%,154,70%,101,Achievement,1,23%,133,2%,60,Achievement,3%,10,10,10,79%,No reduction,08/28/2009,DAVITA,08/29/2009
SATILLA RIVER DIALYSIS,112817,,,,308 CARSWELL AVENUE,,WAYCROSS,GA,31501,6,10,0%,17,6%,17,Achievement,10,100%,12,91%,11,Achievement,1,43%,141,38%,123,Improvement,10,2%,117,0%,88,Achievement,6%,10,10,0,85%,No reduction,08/11/2009,DAVITA,01/06/2011
COMMERCE KIDNEY CENTER,112818,,,,592 RIDGE WAY ROAD SUITE A,,COMMERCE,GA,30529,6,10,0%,19,0%,15,Achievement,10,100%,19,93%,14,Achievement,2,50%,229,52%,160,Achievement,1,23%,193,16%,108,Achievement,2%,0,10,0,69%,No reduction,06/24/2009,INDEPENDENT,06/25/2009
RAI CROSSROADS,112819,,,,1719 MAGNOLIA WAY,,AUGUSTA,GA,30919,6,10,0%,21,0%,20,Achievement,10,100%,25,100%,18,Achievement,3,54%,248,60%,214,Achievement,3,19%,222,25%,145,Achievement,3%,10,10,10,79%,No reduction,09/29/2009,RENAL ADVANTAGE,09/30/2009
"HOME DIALYSIS OF NORTH ATLANTA, INC",112820,,,,980 JOHNSON FERRY ROAD,Suite 410 A,ATLANTA,GA,30342,6,N/A,,10,,3,N/A,N/A,,0,,3,N/A,N/A,Insufficient data,0,Insufficient data,13,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,N/A,N/A,10,100%,No reduction,10/15/2009,INDEPENDENT,10/16/2009
CLASSIC CITY DIALYSIS,112821,,,,2485 JEFFERSON ROAD,,ATHENS,GA,30606,6,10,0%,49,6%,31,Achievement,7,98%,43,96%,28,Achievement,0,41%,533,38%,360,Achievement,1,22%,482,15%,243,Achievement,1%,10,10,10,64%,No reduction,11/10/2009,INDEPENDENT,04/02/2011
HAPEVILLE DIALYSIS CENTER,112822,,,,800 VIRGINIA AVENUE,Ste 100,HAPEVILLE,GA,30354,6,10,0%,14,,6,Achievement,10,100%,12,,6,Achievement,0,41%,152,Insufficient data,65,Achievement,4,17%,127,Insufficient data,40,Achievement,2%,0,10,0,69%,No reduction,12/29/2009,INDEPENDENT,04/03/2011
EMORY DIALYSIS LLC,112823,,,,2841 GREENBRIAR PARKWAY SOUTHWEST,Suite X126,ATLANTA,GA,30331,6,10,0%,110,10%,114,Achievement,7,98%,112,95%,110,Achievement,2,50%,1323,46%,1197,Achievement,4,16%,1233,19%,818,Achievement,3%,10,10,10,70%,No reduction,02/04/2010,INDEPENDENT,02/05/2010
EMORY DIALYSIS LLC,112824,,,,610 NORTHSIDE DRIVE NORTHWEST,,ATLANTA,GA,30318,6,10,0%,135,17%,109,Achievement,7,98%,102,95%,79,Achievement,0,39%,1308,36%,991,Achievement,4,16%,1219,25%,677,Achievement,2%,10,10,10,67%,No reduction,02/03/2010,INDEPENDENT,02/04/2010
DAVITA AUSTELL RENAL,112825,,,,3642 MARATHON CIRCLE,,AUSTELL,GA,30106,6,10,0%,16,9%,11,Achievement,10,100%,16,,10,Achievement,10,82%,184,70%,94,Achievement,9,7%,167,18%,61,Achievement,10%,10,10,0,97%,No reduction,02/03/2010,DAVITA,03/08/2012
EMORY DIALYSIS LLC,112826,,,,2726 CANDLER ROAD,,DECATUR,GA,30034,6,10,0%,134,12%,111,Achievement,7,98%,133,96%,108,Achievement,0,39%,1523,41%,1220,Achievement,6,13%,1394,21%,837,Achievement,3%,10,10,10,70%,No reduction,02/02/2010,INDEPENDENT,02/03/2010
SNELLVILLE DIALYSIS CENTER,112827,,,,2290 OAK ROAD,,SNELLVILLE,GA,30078,6,10,0%,39,3%,40,Achievement,0,93%,43,100%,41,Achievement,6,64%,444,64%,451,Achievement,5,15%,402,9%,305,Achievement,6%,0,10,10,55%,No reduction,02/23/2010,INDEPENDENT,04/08/2010
CONYERS DIALYSIS,112828,,,,1501 MILSTEAD ROAD NORTHEAST,,CONYERS,GA,30012,6,10,0%,36,0%,19,Achievement,10,100%,37,89%,19,Achievement,9,71%,397,63%,191,Achievement,8,9%,346,17%,129,Achievement,9%,10,10,10,97%,No reduction,03/16/2010,DAVITA,03/17/2010
COLONIAL SPRINGS DIALYSIS,112829,,,,2840 EAST WEST CONNECTOR,Suite 350,AUSTELL,GA,30106,6,10,0%,36,0%,20,Achievement,10,100%,38,100%,21,Achievement,10,76%,401,65%,241,Achievement,10,3%,348,10%,167,Achievement,10%,10,10,10,100%,No reduction,03/02/2010,DAVITA,03/03/2010
FRESENIUS MEDICAL CARE HIRAM,112830,,,,3919 ATLANTA HIGHWAY,,HIRAM,GA,30141,6,10,0%,44,4%,26,Achievement,10,100%,50,96%,23,Achievement,6,53%,498,17%,249,Improvement,6,16%,450,34%,161,Improvement,6%,10,10,10,88%,No reduction,04/28/2010,FRESENIUS MEDICAL CARE,04/29/2010
MAGNOLIA OAKS DIALYSIS,112831,,,,2377 HIGHWAY 196 WEST,,HINESVILLE,GA,31313,6,10,0%,30,0%,24,Achievement,10,100%,24,95%,21,Achievement,8,70%,310,61%,226,Achievement,10,2%,272,5%,152,Achievement,9%,10,10,10,97%,No reduction,06/09/2010,DAVITA,06/10/2010
"DIALYSIS NEWCO, INC.",112832,,,,745 PINE STREET,,MACON,GA,31210,6,10,0%,28,8%,13,Achievement,10,100%,25,100%,12,Achievement,2,52%,322,44%,133,Achievement,4,16%,284,16%,82,Achievement,3%,10,10,10,79%,No reduction,06/18/2010,DIVERSIFIED SPECIALTY INSTITUTES (DSI),06/19/2010
DSI MILLEDGEVILLE DIALYSIS,112833,,,,411 NORTH JEFFERSON STREET,,MILLEDGEVILLE,GA,31061,6,10,0%,19,,9,Achievement,1,94%,18,,9,Achievement,0,45%,193,Insufficient data,87,Achievement,5,15%,170,Insufficient data,61,Achievement,3%,10,10,10,52%,0.5%,07/22/2010,FRESENIUS MEDICAL CARE,07/23/2010
MABLETON DIALYSIS,112834,,,,1380 VETERANS MEMORIAL HIGHWAY SOUTHWEST,,MABLETON,GA,30126,6,0,64%,14,0%,12,Achievement,6,93%,15,77%,13,Improvement,7,66%,160,72%,121,Achievement,6,13%,153,11%,79,Achievement,7%,0,10,10,46%,0.5%,07/06/2010,INDEPENDENT,07/07/2010
FMC HONEY CREEK,112835,,,,1901 HONEY CREEK COMMONS,,CONYERS,GA,30013,6,10,0%,31,5%,22,Achievement,5,97%,36,100%,24,Achievement,10,80%,339,46%,213,Achievement,10,3%,315,22%,132,Achievement,10%,10,10,10,85%,No reduction,10/13/2010,FRESENIUS MEDICAL CARE,10/14/2010
RAI CARE CENTERS OF STOCKBRIDGE,112836,,,,500 EAGLES LANDING PARKWAY,,STOCKBRIDGE,GA,30281,6,10,0%,26,0%,14,Achievement,10,100%,25,,10,Achievement,10,74%,271,85%,79,Achievement,8,8%,238,2%,43,Achievement,9%,0,10,0,90%,No reduction,11/04/2010,RENAL ADVANTAGE,11/05/2010
NEPHRON NORCROSS DIALYSIS CENTER,112837,,,,6060 SINGLETON ROAD SUITE A,,NORCROSS,GA,30093,6,10,0%,16,,0,Achievement,10,100%,17,,0,Achievement,3,55%,182,Insufficient data,4,Achievement,0,30%,149,Insufficient data,0,Achievement,2%,0,10,10,73%,No reduction,11/16/2010,INDEPENDENT,11/17/2010
RAI CARE CENTERS FAYETTEVILLE,112838,,,,1240 HIGHWAY 54 WEST SUITE 408,,FAYETTEVILLE,GA,30215,6,10,0%,17,,10,Achievement,10,100%,19,,10,Achievement,4,58%,231,57%,65,Achievement,5,14%,209,22%,32,Achievement,5%,10,10,10,85%,No reduction,12/29/2010,RENAL ADVANTAGE,12/30/2010
RENAL CARE PARTNERS OF CUMMING,112839,,,,1370 BUFORD HIGHWAY SUITE 110,,CUMMING,GA,30041,6,10,0%,26,,6,Achievement,10,100%,23,,8,Achievement,9,73%,246,Insufficient data,44,Achievement,6,13%,197,Insufficient data,18,Achievement,8%,0,10,10,91%,No reduction,02/09/2011,OTHER CHAIN(number of facilities <20 ),11/30/2011
NORTH CARROLLTON DIALYSIS,112840,,,,195 PARKWOOD CIRCLE,,CARROLLTON,GA,30117,6,N/A,,4,,0,N/A,N/A,,4,,0,N/A,N/A,Insufficient data,46,Insufficient data,0,N/A,N/A,Insufficient data,31,Insufficient data,0,N/A,N/A,10,10,10,100%,No reduction,03/23/2011,DAVITA,03/24/2011
MCAFEE DIALYSIS,112841,,,,1987 CANDLER ROAD SUITE C,,DECATUR,GA,30032,6,10,0%,23,,0,Achievement,10,100%,27,,0,Achievement,8,68%,286,Insufficient data,0,Achievement,5,14%,234,Insufficient data,0,Achievement,7%,10,10,10,91%,No reduction,04/20/2011,DAVITA,04/21/2011
MID ATLANTA HOME DIALYSIS,112842,,,,"418 DECATUR STREET SOUTHEAST, SUITE B",,ATLANTA,GA,30312,6,5,5%,21,,0,Achievement,N/A,,0,,0,N/A,7,65%,257,Insufficient data,0,Achievement,8,9%,239,Insufficient data,0,Achievement,8%,N/A,N/A,0,59%,No reduction,07/21/2011,DAVITA,07/22/2011
LAKE HARTWELL KIDNEY CENTER,112843,,,,98 ARTHUR STREET,,HARTWELL,GA,30643,6,N/A,,5,,0,N/A,N/A,,6,,0,N/A,N/A,Insufficient data,56,Insufficient data,0,N/A,N/A,Insufficient data,30,Insufficient data,0,N/A,N/A,0,10,0,33%,1.0%,09/29/2011,INDEPENDENT,09/30/2011
DUBLIN DIALYSIS CENTER,112844,,,,"2400 BELLEVUE ROAD, SUITE 29 A",,DUBLIN,GA,31021,6,10,0%,26,,0,Achievement,0,92%,24,,0,Achievement,1,46%,310,Insufficient data,0,Achievement,5,14%,255,Insufficient data,0,Achievement,3%,10,10,10,49%,0.5%,11/09/2011,AMERICAN RENAL ASSOCIATES,11/10/2011
RENAL CARE PARTNERS OF ROSWELL,112845,,,,"11660 ALPHARETTA HIGHWAY, SUITE 650",,ROSWELL,GA,30076,6,10,0%,14,,0,Achievement,0,92%,13,,0,Achievement,3,53%,159,Insufficient data,0,Achievement,8,9%,105,Insufficient data,0,Achievement,6%,10,10,10,58%,No reduction,12/21/2011,OTHER CHAIN(number of facilities <20 ),12/22/2011
LAKE OCONEE DIALYSIS,112846,,,,"1000 COWLES CLINIC WAY, SUITE S-100",,GREENSBORO,GA,30642,6,N/A,,5,,0,N/A,N/A,,6,,0,N/A,N/A,Insufficient data,65,Insufficient data,0,N/A,N/A,Insufficient data,42,Insufficient data,0,N/A,N/A,10,10,10,100%,No reduction,12/22/2011,AMERICAN RENAL ASSOCIATES,12/23/2011
ELLENWOOD DIALYSIS CENTER,112847,,,,209 BENNETTE BOULEVARD,,ELLENWOOD,GA,30294,6,10,0%,14,,0,Achievement,10,100%,13,,0,Achievement,6,62%,137,Insufficient data,0,Achievement,6,13%,95,Insufficient data,0,Achievement,6%,0,10,0,81%,No reduction,02/02/2012,INDEPENDENT,02/03/2012
DARIEN DIALYSIS,112848,,,,5873 HIGHWAY 17 NORTH,,DARIEN,GA,31305,6,10,0%,15,,0,Achievement,10,100%,16,,0,Achievement,7,67%,162,Insufficient data,0,Achievement,10,1%,104,Insufficient data,0,Achievement,9%,10,10,0,94%,No reduction,02/17/2012,DAVITA,02/18/2012
FRESENIUS MEDICAL CARE ACWORTH,112849,,,,3372 ACWORTH SUMMIT BOULEVARD,,ACWORTH,GA,30101,6,10,0%,33,,0,Achievement,5,97%,32,,0,Achievement,4,57%,257,Insufficient data,0,Achievement,9,7%,152,Insufficient data,0,Achievement,7%,10,10,10,76%,No reduction,05/03/2012,FRESENIUS MEDICAL CARE,06/19/2012
"RELIANT RENAL CARE GEORGIA, LLC",112850,,,,1720 POWDER SPRINGS ROAD,,MARIETTA,GA,30064,6,N/A,,4,,0,N/A,N/A,,10,,0,N/A,N/A,Insufficient data,61,Insufficient data,0,N/A,N/A,Insufficient data,31,Insufficient data,0,N/A,N/A,10,10,10,100%,No reduction,05/23/2012,INDEPENDENT,06/19/2012
